一 eins
二 zwei
三 drei
四 vier
五 fünf
六 sechs
七 sieben
八 acht
九 neun
十 zehn
口 Mund
日 Tag
月 Monat
田 Reisfeld
目 Auge
古 alt
吾 Ich
冒 riskieren
朋 Gefährte
明 hell
唱 Gesang
晶 Kristall
品 Waren
呂 Rückgrat
昌 gedeihen
早 früh
旭 aufgehende Sonne
世 Generation
胃 Magen
旦 Morgendämmerung
胆 Gallenblase
亘 Spanne
凹 Konkav
凸 Konvex
旧 alte Zeiten
自 selbst
白 weiß
百 hundert
中 in
千 tausend
舌 Zunge
升 Messkästchen
昇 aufsteigen
丸 rund
寸 Längenmaß
専 Spezialgebiet
博 Dr.
占 Wahrsagen
上 auf
下 unter
卓 hervorragend
朝 Morgen
只 nur
貝 Muschel
貞 keusch
員 Mitglied
見 sehen
児 Säugling
元 Anfang
頁 Buchseite
頑 hartnäckig
凡 durchschnittlich
負 unterliegen
万 zehntausend
句 Ausdruck
肌 Oberfläche
旬 Zeitraum von zehn Tagen
勺 Kelle
的 Zielscheibe
首 Hals
乙 delikat
乱 Aufruhr
直 direkt
具 Werkzeug
真 wahr
工 Handwerk
左 links
右 rechts
有 besitzen
賄 Bestechung
貢 Abgabe
項 Abschnitt
刀 Schwert
刃 Klinge
切 schneiden
召 locken
昭 gleißen
則 Regel
副 Vize-
別 getrennt
丁 Häuserblock
町 Stadt
可 möglich
頂 auf den Kopf
子 Kind
孔 Ritze
了 fertig
女 Frau
好 mögen
如 als ob
母 Mama
貫 durchbohren
兄 älterer Bruder
克 überwinden
小 klein
少 wenig
大 groß
多 viele
夕 Abend
汐 abendliche Gezeiten
外 draußen
名 Name
石 Stein
肖 gleichen
硝 Salpeter
砕 zerschmettern
砂 Sand
削 hobeln
光 Licht
太 dick
器 Geschirr
臭 übelriechend
妙 bezaubernd
省 sich besinnen auf
厚 dicht
奇 seltsam
川 Fluß
州 Staat
順 gehorchen
水 Wasser
氷 Eiszapfen
永 Ewigkeit
泉 Springquell
原 Wiese
願 Gesuch
泳 schwimmen
沼 Morast
沖 offenes Meer
江 Meeresarm
汁 Suppe
潮 Gezeiten
源 Quelle
活 lebendig
消 löschen
況 Zustand
河 Strom
泊 übernachten
湖 See
測 loten
土 Erde
吐 spucken
圧 Druck
埼 Kap
垣 Hecke
圭 eckiger Edelstein
封 Siegel
涯 Horizont
寺 buddhistischer Tempel
時 Zeit
均 ebnen
火 Feuer
炎 entzünden
煩 Sorgen
淡 blass
灯 Lampe
畑 Acker
災 Katastrophe
灰 Asche
点 Punkt
照 scheinen
魚 Fisch
漁 Fischfang
里 ri
黒 schwarz
墨 Tusche
鯉 Karpfen
量 Menge
厘 Rin
埋 begraben
同 identisch
洞 Grotte
胴 Rumpf
向 gerichtet an
尚 Wertschätzung
字 Schriftzeichen
守 Wache
完 vollendet
宣 verkünden
宵 bis in die Puppen
安 ruhig
宴 Festmahl
寄 sich nähern
富 Reichtum
貯 Ersparnisse
木 Baum
林 Hain
森 Wald
桂 Katsura
柏 Eiche
枠 Rahmen
梢 Wipfel
棚 Regal
杏 Aprikose
桐 Paulownie
植 pflanzen
枯 verdorren
朴 schlicht
村 Dorf
相 einander
机 Schreibtisch
本 Buch
札 Etikett
暦 Kalender
案 Vorhaben
燥 dörren
未 noch nicht
末 schließlich
沫 Gischt
味 Geschmack
妹 jüngere Schwester
朱 zinnoberrot
株 Aktien
若 jung
草 Gras
苦 leiden
寛 nachsichtig
薄 verdünnen
葉 Laub
模 Imitation
漠 vage
墓 Grab
暮 Lebensunterhalt
膜 Membran
苗 Setzling
兆 Vorzeichen
桃 Pfirsich
眺 anstarren
犬 Hund
状 Umstände
黙 schweigen
然 -artig
荻 Schilf
狩 jagen
猫 Katze
牛 Kuh
特 speziell
告 Ansage
先 voran
洗 waschen
介 dazwischen
界 Welt
茶 Tee
